from_resource_id,to_event_id,necessity,quantity_consumed,efficiency
RES_001,EVT_001,required,0.0,0.95
RES_001,EVT_004,required,0.0,0.95
RES_002,EVT_005,required,0.0,0.88
RES_002,EVT_010,required,0.0,0.88
RES_002,EVT_017,required,0.0,0.90
RES_003,EVT_006,required,0.0,0.75
RES_003,EVT_020,enhances,0.0,0.75
RES_003,EVT_023,required,0.0,0.78
RES_004,EVT_003,required,0.0,0.90
RES_004,EVT_008,facilitates,0.0,0.90
RES_004,EVT_024,required,0.0,0.92
RES_005,EVT_002,required,0.0,0.92
RES_005,EVT_007,required,0.0,0.92
RES_006,EVT_008,enhances,0.0,0.87
RES_006,EVT_012,enhances,0.0,0.87
RES_007,EVT_021,required,0.0,0.98
RES_009,EVT_011,required,0.0,0.85
RES_009,EVT_004,enhances,0.0,0.85
RES_010,EVT_022,required,0.0,0.80
RES_010,EVT_023,required,0.0,0.82
RES_012,EVT_003,required,0.0,0.91
RES_012,EVT_014,required,0.0,0.91
RES_012,EVT_018,required,0.0,0.93
RES_014,EVT_019,required,2.0,0.94
RES_016,EVT_001,required,0.0,0.82
RES_017,EVT_004,facilitates,0.0,0.93
RES_019,EVT_011,required,0.0,0.88
RES_020,EVT_014,required,2.0,0.96
RES_020,EVT_018,required,2.0,0.96
RES_021,EVT_003,required,0.0,0.86
