source_value_id,target_entity_id,target_entity_type,alignment_strength
VAL_001,GOAL_001,Goal,1.0
VAL_001,GOAL_002,Goal,0.95
VAL_001,GOAL_005,Goal,0.98
VAL_001,GOAL_009,Goal,1.0
VAL_001,EVT_007,Event,0.95
VAL_001,EVT_013,Event,1.0
VAL_001,EVT_014,Event,0.95
VAL_002,GOAL_007,Goal,0.95
VAL_002,GOAL_008,Goal,0.7
VAL_003,GOAL_002,Goal,1.0
VAL_003,EVT_006,Event,0.85
VAL_003,EVT_010,Event,0.8
VAL_003,EVT_015,Event,0.9
VAL_004,GOAL_003,Goal,0.95
VAL_004,GOAL_008,Goal,0.85
VAL_004,EVT_008,Event,0.9
VAL_005,GOAL_005,Goal,0.85
VAL_005,GOAL_006,Goal,0.9
VAL_005,EVT_004,Event,0.8
VAL_006,GOAL_001,Goal,0.9
VAL_006,GOAL_004,Goal,0.85
VAL_006,EVT_002,Event,0.85
VAL_006,EVT_003,Event,0.85
VAL_007,GOAL_007,Goal,0.8
VAL_007,GOAL_010,Goal,0.75
VAL_008,GOAL_003,Goal,0.85
VAL_008,GOAL_004,Goal,0.8
VAL_008,EVT_008,Event,0.9
VAL_009,GOAL_008,Goal,0.95
VAL_009,GOAL_010,Goal,0.9
VAL_010,GOAL_008,Goal,0.7
